DateComtd,DayComtd,TimeComtd,Barangay,X,Y,CrimeType,CrimeCategory,Classification,CaseStat,Solved,Cleared,"Place of Occurrence"
2020-08-01,Wednesday,20:15:00,Mangnao-Canal,123.301956,9.296012,"INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj","Filed in Pros / Court",No,Yes,"(Inside Residences) - Public Residential Area"
2020-08-01,Wednesday,20:15:00,Mangnao-Canal,123.301956,9.296012,"NON-INDEX CRIME",OTHERNONINDEX,"Other Non-Index","Filed in Pros / Court",No,Yes,"(Inside Residences) - Public Residential Area"
2020-03-01,Friday,12:00:00,"Poblacion No. 8 (Barangay 8)",123.305,9.303937,"INDEX CRIME",THEFT,"Qualified Theft","Filed in Pros / Court",No,Yes,"(Commercial-Business Establishments) - Grocery / Convenience Store / Sari sari Store"
2020-09-01,Thursday,10:30:00,Daro,123.295212,9.320429,"INDEX CRIME",THEFT,Salisi,"Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
2020-09-01,Thursday,10:30:00,Daro,123.295212,9.320429,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
2020-09-01,Thursday,21:40:00,"Poblacion No. 8 (Barangay 8)",123.304947,9.305827,"NON-INDEX CRIME",OTHERNONINDEX,"Unjust Vexation","Victim refused to file a case",Yes,Yes,"(Commercial-Business Establishments) - Office "
2020-10-01,Friday,3:30:00,Calindagan,123.307793,9.299114,"NON-INDEX CRIME",SPECIALLAWS,"RA 10591 / 8294 (FIREARMS & EXPLOSIVES)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
2020-10-01,Friday,3:30:00,Calindagan,123.307793,9.299114,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
2020-10-01,Friday,3:30:00,Calindagan,123.307793,9.299114,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
2020-09-01,Thursday,11:45:00,Taclobo,123.302887,9.312431,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
