DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*,Column1,Column2
2021-10-04,Monday,21:00:00,Traf(137)103,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Candau-ay,Purok Likod,123.261604,9.314124,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-09,Saturday,1:54:00,202110-1470,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.308205,9.315485,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"
Confiscated pieces of evidence were:
a.) 1 Set playing cards consisting 52 pieces, red/white color combination with cover; and
b.) Bet money amounting to One Hundred Eighty Six (Php 186.00).
		
",Php 186.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2021-10-09,Saturday,15:05:00,202110-1473,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.311089,9.314564,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

Confiscated pieces of evidence were:
a.) 1 Set playing cards consisting 52 pieces, red/white color combination with cover; and
b.) Bet money amounting to Three Hundred Seventy Pesos (Php 370.00).
		
",Php 370.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2021-10-09,Saturday,15:20:00,202110-1474,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.311005,9.314455,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"
Confiscated pieces of evidence were:
a.) 1 Set playing cards consisting 52 pieces, red/white color combination with cover; and
b.) Bet money amounting to One hundred Sixty Pesos (Php 160.00).
		
",Php 160.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2021-10-09,Saturday,21:12:00,202110-1483,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,"Zone 4, Oracion Drive",123.311745,9.314854,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"

One (1) piece small heat sealed containing suspected shabu granules/powder marked as MZE-BB-Oct. 09, 2021-9:12 pm Zone 4 oracion, Looc Dumaguete City with signature;
One (1) piece medium heat sealed containing suspected shabu granules/powder marked as MZE-P1- Oct. 09, 2021-9:17 pm Zone 4 oracion, Looc Dumaguete City with signature;
One (1) piece small heat sealed containing suspected shabu granules/powder marked as MZE-P2- Oct. 09, 2021-9:17 pm Zone 4 oracion, Looc Dumaguete City with signature;
One (1) piece small plastic container color yellow marked as MZE-P3- Oct. 09, 2021-9:14 pm Zone 4 oracion, Looc Dumaguete City with signature;
One (1) piece Five hundred peso bill buy bust money with serial no. CM513937
Remarks: Total estimated weight of all confiscated suspected shabu items is more or less 5 Grams with corresponding SDP value amounting to Php 34,000,000 which will be submitted to PNP ProvincialCrime Laboratory for forensic examination. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-09,Saturday,21:12:00,202110-1483,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,"Zone 4, Oracion Drive",123.311745,9.314854,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"

One (1) piece small heat sealed containing suspected shabu granules/powder marked as MZE-BB-Oct. 09, 2021-9:12 pm Zone 4 oracion, Looc Dumaguete City with signature;
One (1) piece medium heat sealed containing suspected shabu granules/powder marked as MZE-P1- Oct. 09, 2021-9:17 pm Zone 4 oracion, Looc Dumaguete City with signature;
One (1) piece small heat sealed containing suspected shabu granules/powder marked as MZE-P2- Oct. 09, 2021-9:17 pm Zone 4 oracion, Looc Dumaguete City with signature;
One (1) piece small plastic container color yellow marked as MZE-P3- Oct. 09, 2021-9:14 pm Zone 4 oracion, Looc Dumaguete City with signature;
One (1) piece Five hundred peso bill buy bust money with serial no. CM513937
Remarks: Total estimated weight of all confiscated suspected shabu items is more or less 5 Grams with corresponding SDP value amounting to Php 34,000,000 which will be submitted to PNP ProvincialCrime Laboratory for forensic examination. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-09,Saturday,22:58:00,202110-1485,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311836,9.314661,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"Confiscated pieces of evidence: a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); b.)  One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be shabu; with a total estimated weight of 0.25 grams with  SDV of Php 1,700.00; and c.) One (1) pc genuine Five hundred Peso bill (Php 500.00) as buy bust money. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-09,Saturday,22:58:00,202110-1485,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.311836,9.314661,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"Confiscated pieces of evidence: a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); b.)  One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be shabu; with a total estimated weight of 0.25 grams with  SDV of Php 1,700.00; and c.) One (1) pc genuine Five hundred Peso bill (Php 500.00) as buy bust money. ",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-13,Wednesday,17:44:00,202110-1493,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Pulantubig,Beside Jetti Gas Station,123.297363,9.32589,INDEX CRIME,Crime Against Property,THEFT,Salisi,Salisi (Akyat Bahay),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,(Inside Residences - Subdivision) - w/o Security Guard,,
2021-10-13,Wednesday,13:40:00,202110-1497,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Taclobo,"Rented Warehouse of Anna's Electrical Supply, Colon St.",123.30555,9.304465,INDEX CRIME,Crime Against Property,THEFT,Salisi,Salisi (Establishment),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Warehouse,,
